ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600887.SH,伊利股份,2024/12/23,2497.5411,2557.6194,2493.2498,2540.4542,43942782,1301645497,1.3699,0.6937,15.812,0.27694,0.24794
600887.SH,伊利股份,2024/12/24,2532.7298,2586.8003,2532.7298,2583.3672,48018816,1436314608,1.6892,0.7581,16.0791,0.33396,0.270385
600887.SH,伊利股份,2024/12/25,2583.3672,2589.3751,2559.3359,2568.7768,32048433,960151014,-0.5648,0.5059,15.9883,0.221,0.18964
600887.SH,伊利股份,2024/12/26,2568.7768,2578.2177,2556.7611,2572.2098,27272709,815551813,0.1336,0.4305,16.0097,0.40982,0.25867
600887.SH,伊利股份,2024/12/27,2571.3516,2592.8081,2553.3281,2587.6585,38679079,1161393948,0.6006,0.6106,16.1058,0.6457,0.276425
600887.SH,伊利股份,2024/12/30,2574.7846,2600.5325,2566.202,2581.6507,33846235,1018665822,-0.2322,0.5343,16.0684,0.32528,0.22283
600887.SH,伊利股份,2024/12/31,2573.0681,2630.5716,2571.3516,2590.2333,67772117,2063323533,0.3324,1.0699,16.1218,0.05392,0.163115
600887.SH,伊利股份,2025/1/2,2583.3672,2615.9812,2519.8559,2537.0211,54547978,1631435516,-2.0543,0.8611,15.7907,-0.24398,0.08603
600887.SH,伊利股份,2025/1/3,2531.8715,2551.6116,2506.1237,2514.7063,40909746,1206201912,-0.8796,0.6458,15.6518,-0.44662,0.088425
600887.SH,伊利股份,2025/1/6,2510.415,2521.5724,2471.7932,2492.3915,37934901,1102617592,-0.8874,0.5989,15.5129,-0.74422,-0.025295
600887.SH,伊利股份,2025/1/7,2476.0845,2503.5489,2467.5019,2478.6593,31890433,923011914,-0.551,0.5034,15.4274,-0.80798,0.018975
600887.SH,伊利股份,2025/1/8,2484.6672,2527.5802,2451.195,2501.8324,39956094,1162978649,0.9349,0.6308,15.5716,-0.68748,-0.055725
600887.SH,伊利股份,2025/1/9,2488.9585,2527.5802,2471.7932,2485.5254,28997638,842923378,-0.6518,0.4578,15.4701,-0.40698,-0.13066
600887.SH,伊利股份,2025/1/10,2485.5254,2496.6828,2448.6202,2448.6202,31166635,896971215,-1.4848,0.492,15.2404,-0.52802,-0.28216
600887.SH,伊利股份,2025/1/13,2440.8958,2475.2263,2425.4471,2441.7541,30201533,859053968,-0.2804,0.4768,15.1977,-0.40662,-0.13409
600887.SH,伊利股份,2025/1/14,2436.6045,2484.6672,2421.1558,2458.9193,37523132,1074224813,0.703,0.5924,15.3045,-0.15582,-0.090395
600887.SH,伊利股份,2025/1/15,2463.2106,2474.368,2435.7463,2442.6123,26884092,767044979,-0.6632,0.4244,15.203,-0.47544,-0.19376
600887.SH,伊利股份,2025/1/16,2452.0532,2461.4941,2422.8723,2431.4549,30914604,877585764,-0.4568,0.488,15.1336,-0.43644,-0.2166
600887.SH,伊利股份,2025/1/17,2418.581,2452.9115,2408.2819,2437.4628,24748651,703089985,0.2471,0.3907,15.171,-0.09006,-0.16372
600887.SH,伊利股份,2025/1/20,2456.3445,2470.0767,2385.9671,2385.9671,49779648,1403726743,-2.1127,0.7859,14.8505,-0.45652,-0.240415
600887.SH,伊利股份,2025/1/21,2388.5419,2393.6914,2326.747,2366.2271,53372120,1466001038,-0.8273,0.8426,14.7276,-0.76258,-0.350275
600887.SH,伊利股份,2025/1/22,2359.361,2368.8019,2330.1801,2351.6366,37674662,1029930692,-0.6166,0.5948,14.6368,-0.75326,-0.465565
600887.SH,伊利股份,2025/1/23,2364.5105,2394.5497,2343.054,2365.3688,32169839,888327137,0.5839,0.5079,14.7223,-0.54512,-0.40813
600887.SH,伊利股份,2025/1/24,2358.5027,2391.9749,2351.6366,2367.9436,35463995,978956439,0.1089,0.5599,14.7383,-0.57276,-0.409365
600887.SH,伊利股份,2025/1/27,2367.9436,2407.4236,2367.9436,2388.5419,47803280,1334632188,0.8699,0.7547,14.8665,0.02376,-0.3959
600887.SH,伊利股份,2025/2/5,2379.101,2390.2584,2304.4322,2304.4322,58641824,1590015006,-3.5214,0.9258,14.343,-0.51506,-0.56036
600887.SH,伊利股份,2025/2/6,2303.574,2335.3297,2300.9992,2321.5975,35193262,949910829,0.7449,0.5556,14.4498,-0.24276,-0.539735
600887.SH,伊利股份,2025/2/7,2323.314,2362.794,2304.4322,2343.9123,42135207,1148270317,0.9612,0.6652,14.5887,-0.1673,-0.38896
600887.SH,伊利股份,2025/2/10,2344.7705,2347.3453,2304.4322,2328.4636,56316353,1523279283,-0.6591,0.889,14.4926,-0.3209,-0.377935
600887.SH,伊利股份,2025/2/11,2330.1801,2335.3297,2307.007,2313.0149,35131073,947584880,-0.6635,0.5546,14.3964,-0.62758,-0.36674
600887.SH,伊利股份,2025/2/12,2307.8653,2334.4714,2301.8575,2329.3218,32897065,887956890,0.705,0.5193,14.4979,0.2177,-0.30394
