ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
300059.SZ,东方财富,2025/5/26,1687.1738,1699.3938,1683.9151,1694.5058,159237200,3304055628,0.0962,1.1904,31.6953,-0.65652,0.06162
300059.SZ,东方财富,2025/5/27,1694.5058,1698.5791,1680.6565,1685.5445,128345978,2662153105,-0.5288,0.9595,31.5277,-0.78088,0.06913
300059.SZ,东方财富,2025/5/28,1690.4325,1692.8765,1667.6218,1670.0658,132052665,2719571593,-0.9183,0.9872,31.2382,-0.83442,-0.030495
300059.SZ,东方财富,2025/5/29,1673.3245,1708.3551,1670.0658,1698.5791,217962633,4534311134,1.7073,1.6295,31.7715,-0.35264,0.088685
300059.SZ,东方财富,2025/5/30,1689.6178,1690.4325,1671.6951,1679.8418,155846615,3214187489,-1.1031,1.1651,31.4211,-0.14934,0.050555
300059.SZ,东方财富,2025/6/3,1668.4365,1701.0231,1665.1778,1683.1005,168136376,3475602967,0.194,1.257,31.482,-0.12978,0.040735
300059.SZ,东方财富,2025/6/4,1682.2858,1721.3898,1675.7685,1705.9111,247088370,5167756330,1.3553,1.8472,31.9087,0.24704,0.00641
300059.SZ,东方财富,2025/6/5,1708.3551,1731.9804,1699.3938,1721.3898,238302387,5011383196,0.9074,1.7815,32.1982,0.61218,-0.010155
300059.SZ,东方财富,2025/6/6,1721.3898,1726.2778,1700.2085,1701.8378,170707833,3583426089,-1.1358,1.2762,31.8325,0.04356,-0.059885
300059.SZ,东方财富,2025/6/9,1711.6138,1758.0498,1710.7991,1748.2738,394252543,8438986734,2.7286,2.9474,32.7011,0.8099,0.16844
300059.SZ,东方财富,2025/6/10,1742.5711,1750.7178,1692.0618,1708.3551,295659608,6240789063,-2.2833,2.2103,31.9544,0.31444,-0.15936
300059.SZ,东方财富,2025/6/11,1714.8725,1784.1191,1709.9845,1750.7178,464789661,10007737342,2.4797,3.4747,32.7468,0.53932,0.02678
300059.SZ,东方财富,2025/6/12,1736.0538,1798.7831,1735.2391,1763.7524,402799229,8732900047,0.7445,3.0113,32.9906,0.50674,-0.187745
300059.SZ,东方财富,2025/6/13,1749.9031,1762.9378,1732.7951,1737.6831,308920138,6617099360,-1.4781,2.3094,32.503,0.43828,-0.10408
300059.SZ,东方财富,2025/6/16,1737.6831,1773.5284,1737.6831,1770.2698,269492794,5827122593,1.8753,2.0147,33.1125,0.26762,0.05614
300059.SZ,东方财富,2025/6/17,1771.8991,1774.3431,1758.0498,1768.6404,199992738,4330488659,-0.092,1.4951,33.082,0.70588,0.058505
300059.SZ,东方财富,2025/6/18,1762.1231,1766.1964,1735.2391,1751.5324,199072084,4273003773,-0.9673,1.4882,32.762,0.01648,0.00549
300059.SZ,东方财富,2025/6/19,1747.4591,1748.2738,1699.3938,1705.0965,262645506,5541018264,-2.6512,1.9635,31.8934,-0.66266,-0.09454
300059.SZ,东方财富,2025/6/20,1710.7991,1714.8725,1685.5445,1687.1738,163936699,3415733488,-1.0511,1.2256,31.5582,-0.57726,-0.112015
300059.SZ,东方财富,2025/6/23,1678.2125,1712.4285,1671.6951,1705.0965,199778062,4158272934,1.0623,1.4935,31.8934,-0.73986,0.04708
300059.SZ,东方财富,2025/6/24,1710.7991,1800.4124,1705.0965,1776.7871,609134035,13215275330,4.2045,4.5538,33.2344,0.11944,0.252495
300059.SZ,东方财富,2025/6/25,1783.3044,1991.0443,1776.7871,1955.199,1442646828,33234532647,10.0413,10.785,36.5716,2.32116,0.781
300059.SZ,东方财富,2025/6/26,1916.095,1937.2763,1877.8057,1884.323,953058387,22290289804,-3.625,7.1249,35.2458,2.1264,0.645665
300059.SZ,东方财富,2025/6/27,1886.767,1967.419,1873.7324,1876.991,826358430,19429214506,-0.3891,6.1777,35.1087,2.2588,0.540845
300059.SZ,东方财富,2025/6/30,1877.8057,1890.0257,1851.7364,1884.323,443466100,10200885529,0.3906,3.3153,35.2458,2.12446,0.61553
300059.SZ,东方财富,2025/7/1,1881.879,1883.5084,1847.6631,1863.9564,310407377,7096299967,-1.0808,2.3206,34.8649,1.0674,0.55179
300059.SZ,东方财富,2025/7/2,1864.771,1876.1764,1841.9604,1850.1071,253828394,5783334186,-0.743,1.8976,34.6058,-1.08946,0.446875
300059.SZ,东方财富,2025/7/3,1852.5511,1872.9177,1850.1071,1863.9564,287265774,6567067714,0.7486,2.1476,34.8649,-0.21474,0.438935
300059.SZ,东方财富,2025/7/4,1857.439,1911.207,1842.7751,1857.439,520331195,11968107629,-0.3497,3.8899,34.743,-0.20686,0.47824
